Popularity,Song,URL,Year
6,Fantasy,http://www.metrolyrics.com/fantasy-lyrics-mariah-carey.html,2012
0,Fantasy Remix,http://www.metrolyrics.com/fantasy-remix-lyrics-mariah-carey.html,2007
1,Fly Away,http://www.metrolyrics.com/fly-away-lyrics-mariah-carey.html,2006
5,Fly Like A Bird,http://www.metrolyrics.com/fly-like-a-bird-lyrics-mariah-carey.html,2005
0,For The Record,http://www.metrolyrics.com/for-the-record-lyrics-mariah-carey.html,2008
3,Forever,http://www.metrolyrics.com/forever-lyrics-mariah-carey.html,2006
3,Fourth Of July,http://www.metrolyrics.com/fourth-of-july-lyrics-mariah-carey.html,2006
0,Get Your Number,http://www.metrolyrics.com/get-your-number-lyrics-mariah-carey.html,2005
0,Giving Me Life,http://www.metrolyrics.com/giving-me-life-lyrics-mariah-carey.html,2018
0,GTFO,http://www.metrolyrics.com/gtfo-lyrics-mariah-carey.html,2018
1,H.A.T.E.U,http://www.metrolyrics.com/hateu-lyrics-mariah-carey.html,2009
0,Hark! The Herald Angels Sing,http://www.metrolyrics.com/hark-the-herald-angels-sing-lyrics-mariah-carey.html,2006
0,Hark! The Herald Angels Sing/Gloria (In Excelsis Deo),http://www.metrolyrics.com/hark-the-herald-angels-singgloria-in-excelsis-deo-lyrics-mariah-carey.html,2008
0,Hark! The Herald Angles Sing/Gloria (in Excelsis Deo),http://www.metrolyrics.com/hark-the-herald-angles-singgloria-in-excelsis-deo-lyrics-mariah-carey.html,2007
4,Hate You,http://www.metrolyrics.com/hate-you-lyrics-mariah-carey.html,2009
1,Heart,http://www.metrolyrics.com/heart-lyrics-mariah-carey.html,2013
4,HeartBreaker,http://www.metrolyrics.com/heartbreaker-lyrics-mariah-carey.html,2012
0,HeartBreaker (remix),http://www.metrolyrics.com/heartbreaker-remix-lyrics-mariah-carey.html,2007
0,Heat,http://www.metrolyrics.com/heat-lyrics-mariah-carey.html,2008
0,Heavenly (No Ways Tired/Can't Give Up Now),http://www.metrolyrics.com/heavenly-no-ways-tiredcant-give-up-now-lyrics-mariah-carey.html,2014
0,Here Comes Santa Claus,http://www.metrolyrics.com/here-comes-santa-claus-lyrics-mariah-carey.html,2010
7,Hero,http://www.metrolyrics.com/hero-lyrics-mariah-carey.html,2009
0,Heroe,http://www.metrolyrics.com/heroe-lyrics-mariah-carey.html,2007
5,Honey,http://www.metrolyrics.com/honey-lyrics-mariah-carey.html,2012
2,Honey (bad Boy Remix),http://www.metrolyrics.com/honey-bad-boy-remix-lyrics-mariah-carey.html,2006
0,Honey (remix),http://www.metrolyrics.com/honey-remix-lyrics-mariah-carey.html,2006
0,Honey (So So Def Mix),http://www.metrolyrics.com/honey-so-so-def-mix-lyrics-mariah-carey.html,2008
0,How Much,http://www.metrolyrics.com/how-much-lyrics-mariah-carey.html,2009
0,I Am Free,http://www.metrolyrics.com/i-am-free-lyrics-mariah-carey.html,2006
0,I Don't,http://www.metrolyrics.com/i-dont-lyrics-mariah-carey.html,2017
3,I Don't Wanna Cry,http://www.metrolyrics.com/i-dont-wanna-cry-lyrics-mariah-carey.html,2012
0,I Don't Want To Cry,http://www.metrolyrics.com/i-dont-want-to-cry-lyrics-mariah-carey.html,2008
0,I Only Wanted,http://www.metrolyrics.com/i-only-wanted-lyrics-mariah-carey.html,2006
4,I Stay In Love,http://www.metrolyrics.com/i-stay-in-love-lyrics-mariah-carey.html,2008
5,I Still Believe,http://www.metrolyrics.com/i-still-believe-lyrics-mariah-carey.html,2009
0,I Sttill Believe,http://www.metrolyrics.com/i-sttill-believe-lyrics-mariah-carey.html,2006
4,I Want to Know What Love Is,http://www.metrolyrics.com/i-want-to-know-what-love-is-lyrics-mariah-carey.html,2009
3,I Wish You Knew,http://www.metrolyrics.com/i-wish-you-knew-lyrics-mariah-carey.html,2005
2,I Wish You Well,http://www.metrolyrics.com/i-wish-you-well-lyrics-mariah-carey.html,2008
0,I'll Be Lovin' U Long Time,http://www.metrolyrics.com/ill-be-lovin-u-long-time-lyrics-mariah-carey.html,2008
6,I'll Be There,http://www.metrolyrics.com/ill-be-there-lyrics-mariah-carey.html,2009
0,I'm That Chick,http://www.metrolyrics.com/im-that-chick-lyrics-mariah-carey.html,2008
0,I've Been Thinking About You,http://www.metrolyrics.com/ive-been-thinking-about-you-lyrics-mariah-carey.html,2006
2,If It's Over,http://www.metrolyrics.com/if-its-over-lyrics-mariah-carey.html,2006
0,If We,http://www.metrolyrics.com/if-we-lyrics-mariah-carey.html,2006
2,Imperfect,http://www.metrolyrics.com/imperfect-lyrics-mariah-carey.html,2010
0,Impossible,http://www.metrolyrics.com/impossible-lyrics-mariah-carey.html,2009
2,Infinity,http://www.metrolyrics.com/infinity-lyrics-mariah-carey.html,2015
0,Inseparable,http://www.metrolyrics.com/inseparable-lyrics-mariah-carey.html,2009
0,Inseparable (Remix),http://www.metrolyrics.com/inseparable-remix-lyrics-mariah-carey.html,2010
0,It's a Wrap,http://www.metrolyrics.com/its-a-wrap-lyrics-mariah-carey.html,2009
4,It's Like That,http://www.metrolyrics.com/its-like-that-lyrics-mariah-carey.html,2005
0,Jesus Born On This Day,http://www.metrolyrics.com/jesus-born-on-this-day-lyrics-mariah-carey.html,2006
0,Jesus Was Born On This Day,http://www.metrolyrics.com/jesus-was-born-on-this-day-lyrics-mariah-carey.html,2006
0,"Jesus, Oh What A Wonderful Child",http://www.metrolyrics.com/jesus-oh-what-a-wonderful-child-lyrics-mariah-carey.html,2006
3,Joy Ride,http://www.metrolyrics.com/joy-ride-lyrics-mariah-carey.html,2005
0,Joy To The World,http://www.metrolyrics.com/joy-to-the-world-lyrics-mariah-carey.html,2006
1,Just To Hold You Once Again,http://www.metrolyrics.com/just-to-hold-you-once-again-lyrics-mariah-carey.html,2006
0,Languishing,http://www.metrolyrics.com/languishing-lyrics-mariah-carey.html,2009
0,Last Kiss,http://www.metrolyrics.com/last-kiss-lyrics-mariah-carey.html,2008
0,Last Night A Dj Saved My Life,http://www.metrolyrics.com/last-night-a-dj-saved-my-life-lyrics-mariah-carey.html,2006
0,Lead The Way,http://www.metrolyrics.com/lead-the-way-lyrics-mariah-carey.html,2006
0,Long Ago,http://www.metrolyrics.com/long-ago-lyrics-mariah-carey.html,2006
0,Looking In,http://www.metrolyrics.com/looking-in-lyrics-mariah-carey.html,2006
2,Love Story,http://www.metrolyrics.com/love-story-lyrics-mariah-carey.html,2008
4,Love Takes Time,http://www.metrolyrics.com/love-takes-time-lyrics-mariah-carey.html,2009
1,Loverboy,http://www.metrolyrics.com/loverboy-lyrics-mariah-carey.html,2006
0,Loverboy (remix),http://www.metrolyrics.com/loverboy-remix-lyrics-mariah-carey.html,2006
0,Lullaby,http://www.metrolyrics.com/lullaby-lyrics-mariah-carey.html,2006
3,Make It Happen,http://www.metrolyrics.com/make-it-happen-lyrics-mariah-carey.html,2012
0,Make It Look Good,http://www.metrolyrics.com/make-it-look-good-lyrics-mariah-carey.html,2014
0,Make It Through The Rain,http://www.metrolyrics.com/make-it-through-the-rain-lyrics-mariah-carey.html,2007
0,Makin' Last All Night (What It Do),http://www.metrolyrics.com/makin-last-all-night-what-it-do-lyrics-mariah-carey.html,2007
1,Melt Away,http://www.metrolyrics.com/melt-away-lyrics-mariah-carey.html,2006
0,Meteorite,http://www.metrolyrics.com/meteorite-lyrics-mariah-carey.html,2014
2,Mine Again,http://www.metrolyrics.com/mine-again-lyrics-mariah-carey.html,2005
1,Miss You,http://www.metrolyrics.com/miss-you-lyrics-mariah-carey.html,2007
0,Miss You Most (at Christmas Time),http://www.metrolyrics.com/miss-you-most-at-christmas-time-lyrics-mariah-carey.html,2006
0,Money ($ * / ...),http://www.metrolyrics.com/money-lyrics-mariah-carey.html,2014
0,More than Just Friends,http://www.metrolyrics.com/more-than-just-friends-lyrics-mariah-carey.html,2009
2,Music Box,http://www.metrolyrics.com/music-box-lyrics-mariah-carey.html,2006
7,My All,http://www.metrolyrics.com/my-all-lyrics-mariah-carey.html,2009
