Popularity,Song,URL,Year,lyrics
0,4real4real,http://www.metrolyrics.com/4real4real-lyrics-mariah-carey.html,2008,"It's for real, for real For real, for real For real, for real (turn me up) For real, for real, for real, for real Its for real, for real (Ohhh Uhh) Baby it's, Baby it's for real, for real, for real Baby it's, Baby it's for real, for real, for real Baby it's, Baby it's for real, for real, for real Baby it's, Baby it's for real, for real, for real Sometimes you make love with my mind If you wont mind, I'll take my time with you But although I'm shy, Though I frollic I'm next so next level fly With them other guys I really wanna reach out and touch you If you could only realize how much I like you Come up knocking at your door, Give a girl a heave-hoe And give a demostration of what it's like Man it's for real, for real A 100% for real, Hotter then cable TV Like something out of your dreams It's for real, for real a million % the deal So i'll just keep it to me, and adventually you'll see Im for real, for real. Baby it's, Baby it's for real, for real, for real (Baby I'm for real) Baby it's, Baby it's for real, for real, for real (Baby I'm for real, for real) Baby it's, Baby it's for real, for real, for real (Baby it's for real, for real) Baby it's, Baby it's for real, for real, for real Oh! my friends say im waisting my time on you Tryin' to spurway with sceams Wanna make ya less then ya seem But im not that one, to listen to dumb chicks That wanna be, were im gonna be (yeahh) Baby I wanna reach out and just touch you If you could only realize how much I like you Lay my self right next to you Fall asleep watching cartoons And wake you up with something good Cause it's so sweet. Man it's for real, for real A 100% for real, Hotter then cable TV Like something out of your dreams It's for real, for real a million % the deal So i'll just keep it to me, and adventually you'll see Im for real, for real. Baby it's, Baby it's for real, for real, for real (Baby I'm for real) Baby it's, Baby it's for real, for real, for real (Baby I'm for real, for real) Baby it's, Baby it's for real, for real, for real (Baby it's for real, for real) Baby it's, Baby it's for real, for real, for real [Da Brat Rap] Man it's for real, for real A 100% for real, Hotter then cable TV Like something out of your dreams It's for real, for real a million % the deal So i'll just keep it to me, and adventually you'll see Im for real, for real. Baby it's, Baby it's for real, for real, for real (Baby I'm for real) Baby it's, Baby it's for real, for real, for real (Baby I'm for real, for real) Baby it's, Baby it's for real, for real, for real (Baby it's for real, for real) Baby it's, Baby it's for real, for real, for real Man it's for real, for real A 100% for real, Hotter then cable TV Like something out of your dreams It's for real, for real a million % the deal So i'll just keep it to me, and adventually you'll see Im for real, for real. Baby it's, Baby it's for real, for real, for real (Baby I'm for real) Baby it's, Baby it's for real, for real, for real (Baby I'm for real, for real) Baby it's, Baby it's for real, for real, for real (Baby it's for real, for real) Baby it's, Baby it's for real, for real, for real"
0,8th Grade,http://www.metrolyrics.com/8th-grade-lyrics-mariah-carey.html,2018,"[Chorus: Mariah Carey] I'm not your world No, I'm not your life Tell me what that means to you If it was me that was by your side Limitless, without no rules Nothin' to lose Never no pressure Just put yourself into my shoes I'm not your world No, I'm not your life [Verse 1: Mariah Carey] That cigarette, put it out, put it out Keep lookin' my way, turn around, turn around This is a moment you can't buy I see that longing in your eyes [Pre-Chorus: Mariah Carey] Somethin' is tellin' me you're ready, am I wrong? Maybe the lyrics are too heavy in my song How would you feel if you had me, then I was gone? Better not be leadin' me on [Chorus: Mariah Carey] I'm not your world No, I'm not your life Tell me what that means to you If it was me that was by your side Limitless, without no rules Nothin' to lose Never no pressure Just put yourself into my shoes I'm not your world No, I'm not your life [Verse 2: Mariah Carey] I'm a confirmation, should you feel unsure I'm that security when you're insecure I'll be that baby girl when you're immature Don't be ambivalent towards me [Pre-Chorus: Mariah Carey] Somethin' is tellin' me you're ready, am I wrong? Maybe the lyrics are too heavy in my song How would you feel if you had me, then I was gone? Better not be leadin' me on [Chorus: Mariah Carey] I'm not your world No, I'm not your life Tell me what that means to you If it was me that was by your side Limitless, without no rules Nothin' to lose (Nothing) Never no pressure (Never) Just put yourself into my shoes (Into my shoes) I'm not your world No, I'm not your life (I'm not your life, oh baby I'm) I'm not your world No, I'm not your life (Baby, I wanna be your life) Tell me what that means to you If it was me that was by your side Limitless, without no rules (Limitless) Nothin' to lose (Nothing to lose) Never no pressure (No pressure) Just put yourself into my shoes I'm not your world No, I'm not your life, baby Ahh [Outro: Mariah Carey & Timbaland] Break it down (I'm not your world No, I'm not your life Tell me what that means to you) Said, I'm not your world (By your side Limitless, without no rules Nothin' to lose) Nothin' to lose, no pressure Uh (Limitless, without no rules Nothin' to lose) Nothing (C'mon, MC) Ooh, ooh, ooh, ooh (C'mon) Nothin' to lose, no pressure (Break it) No pressure (Break it) Ooh (C'mon, MC) Ah, ah, ah, ah (Uh, c'mon) La-da-da-da-da-da, I'm not your life (What you say, girl?) Limitless, without no rules (Break it) Your life (C'mon, what you say, girl? What you say, girl? What you say, girl? C'mon)"
0,A No No,http://www.metrolyrics.com/a-no-no-lyrics-mariah-carey.html,2018,"[Verse 1] I ain't even mad No not like befo' Off with your head Now slither out the door Snakes in the grass It's time to cut the lawn And now you're mad sayin' Hey I cut you off [Verse 2] (No) You ain't gonna lie to my face no mo' Hit me with 'I'm sorry' But I'm sorry (No) Na-na-na-na-na-na-na-na-na-na No Get me and Shapiro on the phone (Case closed) [Refrain] You shoulda' known that It's bigger than you You'll never know What I already knew After everything I already been through I can't waste no time Pay no 'tention to you [Chorus] I said no No no no A no no No no That's a no no No no I said no no No no [Verse 3] You came so close You just don't know Irregardless Of what transpired It ain't even worthy of a slick reply Even if I was the last woman alive I would be like Ginger You ain't Gilligan isle Really don't care I'm in love with the island Rockin' Dior 'Cause it goes with my diamonds Got a pink gown Custom by Alaia I'll be on stage With the stadium light up [Refrain] You shoulda' known that It's bigger than you You'll never know What I already knew After everything I already been through I can't waste no time Pay no 'tention to you [Chorus] I said no No no no A no no No no That's a no no No no I said no no No no I said no (I said no) A no no No no That's a no no No no I said no no No no No [Bridge: Notorious B.I.G.] He's a slut He's a hoe He's a freak Got a different girl Every day of the week (Check it) He's a slut He's a hoe He's a freak Got a different girl Every day of the week (Check it) He's a slut He's a hoe He's a freak Got a different girl Every day of the week (Check it) He's a slut He's a hoe He's a freak Got a different girl Every day of the week (Check it) [Chorus] I said no (I said no) A no no (Look) I said no no That's a no no (I said no) No no I said no no (No) (No no no) (No no no) (No no no) (And I said no) (No no no) [Outro: Mariah Carey] Parlez-vous francais? I said no Lemme translate it I said no I can say it en espa̱ol No (No no no no) Portuguese? Boy you know Japanese? Boy you know (I said no) (I said it) (I said no) I said no I think, I think that was it Yep"
0,A No No (Remix),http://www.metrolyrics.com/a-no-no-remix-lyrics-mariah-carey.html,2019,"[Intro: Stefflon Don] Don (Don) Mariah (Mariah) (Aye!) Mariah (Mariah) Carey [Verse 1: Mariah Carey] I ain't even mad, no, not like befo' Off with your head, now slither out the door Snakes in the grass, it's time to cut the lawn Ed Scissorhands, AKA ""I cut you off"" (No) You ain't gonna lie to my face no mo' Hit me with 'I'm sorry', but I'm sorry, (No) Na-na-na-na-na-na-na-na-na-na, (No) Get me Ed Shapiro on the phone Case closed [Pre-Chorus: Mariah Carey] You shoulda known that it's bigger than you You'll never know what I already knew After everything I already been through I can't waste no time, pay no 'tention to you [Chorus: Mariah Carey & (Stefflon Don)] I said no No, no, no A no-no (You a liar) No, no That's a no-no (Uh) No, no I said no-no No, no (Tell 'em, Mariah) [Verse 2: Mariah Carey] You came so close, you just don't know Irregardless of what transpired It ain't even worthy of a slick reply Even if I was the last woman alive I would be like Ginger, you ain't Gilligan I really don't care, I'm in love with the island Rockin' Dior 'cause it goes with my diamonds Got a pink gown Custom by Alaia I'll be on stage when the stadium light up [Pre-Chorus: Mariah Carey] You shoulda' known that it's bigger than you You'll never know what I already knew After everything I already been through I can't waste no time, pay no 'tention to you [Chorus: Mariah Carey & (Stefflon Don)] I said no No, no, no A no-no No, no That's a no-no No, no I said no-no (Don) I said- [Verse 3: Stefflon Don] To be hones' I ain't never been a clown Kept my legs closed, I ain't never been about So I don't understand why you got yo' Tongue on my name Most bitches talk shit, then get punched in the face The name's Don And they don't call me that for nothin' Fear ain't in my blood, I ain't scared of nothin' I take the trash out Brothers wan' play me, I blow they back out I ain't with the ""he say, she say"", get the strap out Got the bloodclaat and my tribe Burn down 'ya house like Lisa 'Left Eye' A-A-Ain't no nigga left, aye It's plain and simple, they addicted to me I keep it ghetto, then I flip it like a perro in heat If you got money, then you'd betta' put 'ya money on me It's M.O.B Money over bum niggas and D All you see, you ain't 'pressing me, you never get the best of me Chanel Coco, keep these nigga bitches bailin' me They like my posts on the 'Gram, but they envy me Snatchin' bitches crimes, committin' felonies (Definitely) [Chorus: Mariah Carey] I said no (I said no) A no-no No-no That's a no-no No-no I said no-no No-no No [Bridge: Notorious B.I.G.] He's a slut, he's a hoe, he's a freak Got a different girl every day of the week (Check it) He's a slut, he's a hoe, he's a freak Got a different girl every day of the week (Check it) He's a slut, he's a hoe, he's a freak Got a different girl every day of the week (Check it) He's a slut, he's a hoe, he's a freak Got a different girl every day of the week (Check it) [Chorus: Mariah Carey & Stefflon Don] I said no (I said no) (Nah) A no-no (Look) (Nah) I said no-no That's a no-no (I said no) (Nah) No, no I said no-no (You liar) (No) (You liar) (No, no, no) (No, no, no) (No, no, no) (And I said no) (No, no, no) [Outro: Mariah Carey] Parlez-vous fran̤ais? I said non (Nah) Lemme translate it, I said no I can say it en espa̱ol (No, no) No (No no no no) Portuguese for you ṇo Japanese for you (iie) (I said no) (I said it) (I said no) I said no I think, I think that was it Yep"
1,After Tonight,http://www.metrolyrics.com/after-tonight-lyrics-mariah-carey.html,2006,I look at you looking at me Feels like a feeling meant to be And as your body moves with mine It's iike i'm lifted out of time And time again Patientiy i've waited For this moment to arrive After tonight Will you remember How sweet and tenderly You reached for me And pulled me closer After you go Will you return to love me After tonight begins to fade I feel your touch caressing me This feeling's all l'll ever need With every kiss from your sweet lips Lt's like i'm drifting out of time Alone will tell If you feel the way i feel When i look in your eyes After tonight Will you remember How sweet and tenderly You reached for me And pulled-me closer After you go Will you return to love me After the night becomes the day Time And time and time again So patiently i've waited For this moment to arrive After tonight Will you remember How sweet and tenderly You reached for me And pulled me closer After you go Baby will you return to love me After the night becomes the day After tonight begins to fade
5,Against All Odds,http://www.metrolyrics.com/against-all-odds-lyrics-mariah-carey.html,2006,"How can I just let you walk away Just let you leave without a trace When I'm standing taking every breath With you, ooohhh You're the only one who really knew me At all. How can you just walk away from me When all I can do is watch you leave Cause we shared the laughter and the pain And even shared the tears You're the only one who really knew me at all. So take a look at me now There's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now There's just an empty space If you're coming back to me it's against all odds And that's what I've got to face. I wish I could just make you turn around Turn around and see me cry There's so much I need to say to you So many reasons why You're the only one who really knew me at all. So take a look at me now There's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now So there's just an empty space But to wait for you is all I can do When that's what I've got to face. Take a good look at me now Cause I'll be standing here (Standing here) And you coming back to me is against all odds And that's the chance I've got to take. Got to take Got to take Ooh Take a look at me now Take a look at me now."
0,Against All Odds (take A Look At Me Now),http://www.metrolyrics.com/against-all-odds-take-a-look-at-me-now-lyrics-mariah-carey.html,2006,"How can I just let you walk away Just let you leave without a trace When I'm standing taking every breath With you, ooohhh You're the only one who really knew me At all. How can you just walk away from me When all I can do is watch you leave Cause we shared the laughter and the pain And even shared the tears You're the only one who really knew me at all. So take a look at me now There's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now There's just an empty space If you're coming back to me it's against all odds And that's what I've got to face. I wish I could just make you turn around Turn around and see me cry There's so much I need to say to you So many reasons why You're the only one who really knew me at all. So take a look at me now There's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now So there's just an empty space But to wait for you is all I can do When that's what I've got to face. Take a good look at me now Cause I'll be standing here (Standing here) And you coming back to me is against all odds And that's the chance I've got to take. Got to take Got to take Ooh Take a look at me now Take a look at me now."
0,All Alone In Love,http://www.metrolyrics.com/all-alone-in-love-lyrics-mariah-carey.html,2006,
7,All I Want For Christmas Is You,http://www.metrolyrics.com/all-i-want-for-christmas-is-you-lyrics-mariah-carey.html,2010,"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas day I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you I won't ask for much this Christmas I won't even wish for snow And I, I just wanna keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for St. Nick I won't even stay awake To hear those magic reindeer click Cause I just want you here tonight Holding onto me so tight What more can I do Oh baby, all I want for Christmas is you All the lights are shining So brightly everywhere And the sound of childrens' Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa won't you bring me The one I really need Won't you please bring my baby to me, quickly I don't want a lot for Christmas This is all I'm asking for I just wanna see my baby Standing right outside my door I just want you for my own More than you could ever know Make my wish come true Oh Baby, all I want for Christmas is you All I want for Christmas is you, baby"
1,All I Want for Christmas Is You (Extra Festive),http://www.metrolyrics.com/all-i-want-for-christmas-is-you-extra-festive-lyrics-mariah-carey.html,2016,I don't want a lot for Christmas There is just one thing I need don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas day I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You baby I won't ask for much this Christmas I won't even wish for snow I'm just gonna keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeers click 'Cause I just want you here tonight Holding on to me so tight What more can I do Baby all I want for Christmas is you Ooh baby All the lights are shining So brightly everywhere And the sound of children's Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa won't you bring me the one I really need Won't you please bring my baby to me... Oh I don't want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door Oh I just want you for my own More than you could ever know Make my wish come true Baby all I want for Christmas is... You All I want for Christmas is you... baby (repeat and fade)
