Author,Number in Series,Number of Ratings,Rank,Rating,Score,Series,Title,Votes
Octavia E. Butler,1-4,"3,945",75,4.33,"1,659","Patternmaster, #1-4)",Seed to Harvest,20
Ursula K. Le Guin,   ,"4,041",76,4.04,"1,572",The Wind's Twelve Quarters,The Wind's Twelve Quarters,19
Elizabeth Moon, ,"3,627",77,4.06,"1,547",Remnant Population,Remnant Population,20
Ursula K. Le Guin,     ,"12,904",78,3.95,"1,510",The Word for World is Forest,The Word for World is Forest,20
Ann Aguirre,1,"12,661",79,3.73,"1,497",Sirantha Jax,Grimspace,17
Nicola Griffith,,"3,715",80,3.86,"1,477",Ammonite,Ammonite,20
Beth Revis,1,"107,418",81,3.77,"1,435",Across the Universe,Across the Universe,16
C.J. Cherryh,3,"3,610",82,4.19,"1,392",Foreigner,Inheritor,18
Mya Robarts,  ,"7,836",83,4.02,"1,380",The V Girl,The V Girl,15
Lauren Oliver,1,"392,285",84,3.98,"1,366",Delirium,Delirium,15
Vonda N. McIntyre,,"8,405",85,3.86,"1,324",Dreamsnake,Dreamsnake,18
Pamela Sargent,  : -     ,272,86,really,"1,297",Women of Wonder: Science-Fiction Stories by Women about Women,Women of Wonder: Science-Fiction Stories by Women about Women,16
Martha Wells,1,"35,062",87,4.15,"1,296",The Murderbot Diaries,All Systems Red,14
Elizabeth Moon,1,"11,161",88,3.98,"1,286",Vatta's War,Trading in Danger,16
C.J. Cherryh,2,"4,058",89,4.17,"1,276",Foreigner,Invader,17
Marge Piercy,     ,"12,598",89,3.95,"1,276",Woman on the Edge of Time,Woman on the Edge of Time,15
Maureen F. McHugh,  ,"3,453",91,3.94,"1,253",China Mountain Zhang,China Mountain Zhang,18
S.L. Viehl,1,"3,632",92,3.80,"1,230",Stardoc,Stardoc,16
Margaret Atwood,3,"52,198",93,really,"1,212",MaddAddam,MaddAddam,13
Tanya Huff,1,"6,898",94,3.98,"1,165",Confederation,Valor's Choice,16
Connie Willis,,"10,069",95,3.93,"1,142",Bellwether,Bellwether,13
C.S. Friedman,  ,"3,261",96,4.04,"1,130",This Alien Shore,This Alien Shore,15
Catherine Asaro,1,"3,686",97,3.74,"1,119",Saga of the Skolian Empire,Primary Inversion,15
Marissa Meyer,2,"265,278",98,4.29,"1,115",The Lunar Chronicles,Scarlet,12
Nancy Kress,1,"1,292",99,3.61,"1,107",Probability,Probability Moon,15
Nancy Farmer,1,"72,363",100,4.10,"1,083",Matteo Alacran,The House of the Scorpion,12
